image,mask_id,label,occluded,polygon_index,visible_fraction
target_casino,12,ceiling_light,0,17,1.0
target_casino,13,sign,0,18,1.0
target_casino,14,sign,0,2,1.0
target_casino,15,pillar,0,11,1.0
target_casino,16,slot_machines,0,15,0.977456
target_casino,17,screen,0,20,1.0
target_casino,18,sign,0,12,1.0
target_casino,19,sign,0,24,1.0
target_casino,20,slot_machine,0,9,1.0
target_casino,21,pillar,0,1,1.0
target_casino,22,pillar,0,13,1.0
target_casino,23,chips,0,5,1.0
target_castle,1,cloud,1,4,0.788618
target_castle,2,castle,1,7,0.929394
target_castle,3,hill,0,2,1.0
target_castle,4,buildings,0,11,1.0
target_castle,5,building,0,5,1.0
target_castle,6,tree,0,3,1.0
target_cemetery,1,tombstone,1,22,0.981683
target_cemetery,2,tree,1,4,0.575906
target_cemetery,3,tree,1,18,0.341432
target_cemetery,4,tree,1,33,0.417558
target_cemetery,5,tombstone,1,25,0.872025
target_cemetery,6,tombstone,1,3,0.782544
target_cemetery,7,tombstone,1,17,0.634258
target_cemetery,8,tombstone,1,8,0.81977
target_cemetery,9,tombstone,1,35,0.856782
target_cemetery,10,tombstone,1,13,0.929058
target_cemetery,11,tombstone,1,20,0.829926
target_cemetery,12,tombstone,1,38,0.942693
target_cemetery,13,tombstone,1,1,0.484243
target_cemetery,14,tombstone,1,27,0.935477
target_cemetery,15,tombstone,1,30,0.777224
target_cemetery,16,tombstone,1,11,0.671322
target_cemetery,17,tombstone,1,34,0.619192
target_cemetery,18,tombstone,1,10,0.738478
target_cemetery,19,tombstone,1,32,0.652192
target_cemetery,20,tombstone,1,9,0.964128
target_cemetery,21,tombstone,1,16,0.704707
target_cemetery,22,tombstone,1,15,0.718048
target_cemetery,23,tombstone,0,40,1.0
target_cemetery,24,tombstone,0,7,1.0
target_cemetery,25,tree,0,19,0.603328
target_cemetery,26,tree,0,5,1.0
target_cemetery,27,tree,0,24,1.0
target_cemetery,28,tombstone,0,29,1.0
target_cemetery,29,tombstone,0,21,1.0
target_cemetery,30,tombstone,0,26,1.0
target_cemetery,31,tombstone,0,0,1.0
target_cemetery,32,tree,0,14,1.0
target_cemetery,33,tombstone,0,12,1.0
target_cemetery,34,tombstone,0,6,1.0
target_cemetery,35,tombstone,0,28,1.0
target_cemetery,36,tombstone,0,31,1.0
target_cemetery,37,tombstone,0,37,1.0
target_cemetery,38,tombstone,0,2,1.0
target_cemetery,39,tombstone,0,23,1.0
target_cemetery,40,tombstone,0,39,1.0
target_church,1,window,1,16,0.887783
target_church,2,sign,1,20,0.074497
target_church,3,pillar,1,28,0.887505
target_church,4,pillar,1,12,0.367262
target_church,5,pillar,1,13,0.616693
target_church,6,poster,1,23,0.871209
target_church,7,pillar,1,0,0.61341
target_church,8,pillar,1,4,0.602508
target_church,9,organ,0,5,1.0
target_church,10,sign,0,24,0.076299
target_church,11,drawing,0,21,1.0
target_church,12,pillar,0,29,0.718388
target_church,13,window,0,19,1.0
target_church,14,drawings,0,18,1.0
target_church,15,drawings,0,26,1.0
target_church,16,drawings,0,27,1.0
target_church,17,chairs,0,10,1.0
target_church,18,chairs,0,11,1.0
target_city,1,building,1,26,0.148538
target_city,2,building,1,21,0.928751
target_city,3,building,1,15,0.480429
target_city,4,building,1,8,0.625486
target_city,5,building,1,25,0.502403
target_city,6,building,1,27,0.373068
target_city,7,building,1,9,0.572521
target_city,8,building,1,0,0.877847
target_city,9,building,1,4,0.284323
target_city,10,building,1,22,0.369841
target_city,11,building,1,14,0.822776
target_city,12,building,1,2,0.146412
target_city,13,building,1,20,1.0
target_city,14,building,1,16,0.171434
target_city,15,street,1,7,0.456369
target_city,16,street,1,10,0.919213
target_city,17,building,0,12,0.937326
target_city,18,building,0,5,1.0
target_city,19,building,0,17,1.0
target_city,20,building,0,24,1.0
target_city,21,billboard,0,19,1.0
target_city,22,building,0,1,1.0
target_city,23,building,0,11,1.0
target_city,24,building,0,6,1.0
target_city,25,building,0,23,1.0
target_city,26,building,0,18,0.997151
target_city,27,parking_lot,0,13,1.0
target_classroom,1,window,1,70,0.897955
target_classroom,2,supplies,1,63,0.490956
target_classroom,3,supplies,1,33,1.0
target_classroom,4,supplies,1,69,0.86148
target_classroom,5,cabinet,1,46,0.854285
target_classroom,6,supplies,1,16,1.0
target_classroom,7,window,1,73,0.929076
target_classroom,8,drawing,1,48,0.837893
target_classroom,9,table,1,44,0.500737
target_classroom,10,table,1,58,0.55072
target_classroom,11,cabinet,1,9,0.841677
target_classroom,12,flower,0,30,1.0
target_classroom,13,flower,0,32,0.979933
target_classroom,14,flower,0,35,1.0
target_classroom,15,flower,0,24,1.0
target_classroom,16,flower,0,52,1.0
target_classroom,17,drawing,0,57,1.0
target_classroom,18,drawing,0,34,1.0
target_classroom,19,flower,0,25,1.0
target_classroom,20,drawing,0,15,1.0
target_classroom,21,drawing,0,7,1.0
target_classroom,22,drawing,0,62,1.0
target_classroom,23,drawing,0,71,1.0
target_classroom,24,drawing,0,0,1.0
target_classroom,25,numbers,0,28,1.0
target_classroom,26,drawing,0,68,1.0
target_classroom,27,drawing,0,72,1.0
target_classroom,28,drawing,0,3,1.0
target_classroom,29,fence,0,39,0.806935
target_classroom,30,drawing,0,26,0.998802
target_classroom,31,drawing,0,18,1.0
target_classroom,32,drawing,0,6,1.0
target_classroom,33,drawing,0,67,1.0
target_classroom,34,drawing,0,66,1.0
target_classroom,35,drawing,0,19,1.0
target_classroom,36,drawing,0,45,1.0
target_classroom,37,drawing,0,38,1.0
target_classroom,38,drawing,0,51,1.0
target_classroom,39,drawing,0,1,1.0
target_classroom,40,drawing,0,2,1.0
target_classroom,41,drawing,0,50,1.0
target_classroom,42,drawing,0,23,1.0
target_classroom,43,drawing,0,61,1.0
target_classroom,44,drawing,0,17,1.0
target_classroom,45,drawing,0,53,1.0
target_classroom,46,drawing,0,59,1.0
target_classroom,47,drawing,0,11,1.0
target_classroom,48,drawing,0,10,1.0
target_classroom,49,drawing,0,64,1.0
target_classroom,50,drawing,0,5,1.0
target_classroom,51,drawing,0,27,1.0
target_classroom,52,flower,0,31,1.0
target_classroom,53,flower,0,37,1.0
target_classroom,54,supplies,0,14,0.962628
target_classroom,55,drawing,0,49,1.0
target_classroom,56,drawing,0,36,1.0
target_classroom,57,paint,0,42,1.0
target_classroom,58,drawing,0,12,1.0
target_classroom,59,table,0,8,1.0
target_classroom,60,supplies,0,54,1.0
target_classroom,61,drawing,0,22,1.0
target_classroom,62,drawing,0,4,1.0
target_classroom,63,drawing,0,29,0.817905
target_classroom,64,drawing,0,21,1.0
target_classroom,65,supplies,0,65,1.0
target_classroom,66,drawing,0,40,1.0
target_classroom,67,supplies,0,56,1.0
target_classroom,68,sofa,0,13,1.0
target_classroom,69,supplies,0,55,1.0
target_classroom,70,drawing,0,41,1.0
